county_name,fips,land_area_square_miles_2010,primary_ruca_code_2010,secondary_ruca_code_2010,tract_population_2010,tract_population_2018,population_estimate_2010,population_estimate_2011,population_estimate_2012,population_estimate_2013,population_estimate_2014,population_estimate_2015,population_estimate_2016,population_estimate_2018,pct_black_pop_2010,pct_black_pop_2018,pct_white_pop_2010,pct_white_pop_2018,groc09,groc14,superc09,superc14,convs09,convs14,specs09,specs14,poverty_rate,median_family_income,pct_hhold_no_veh,pct_hhold_1_veh,pct_hhold_2plus_veh,food_desert_2010,food_desert_2017
Alamance,37001021207,4.567799156,1,1,3086,3594,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,22.5,61548,0.042962963,0.21037037,0.746666667,NA,0
Alamance,37001021300,52.4545357,2,2,6057,6123,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,13.8,57364,0.035139712,0.188399661,0.776460627,NA,0
Alamance,37001021400,25.37071716,2,2,2650,2737,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,15,57009,0.055137845,0.270676692,0.674185464,NA,0
Alamance,37001021500,35.56359991,2,2,4681,4936,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,10.4,66827,0.010775862,0.19612069,0.793103448,NA,0
Alamance,37001021600,12.87506081,1,1,6934,7550,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,14.1,58804,0.04738041,0.359453303,0.593166287,NA,0
Alamance,37001021701,1.635472056,1,1,3237,3290,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,1.5,98281,0.088159588,0.308236808,0.603603604,NA,0
Alamance,37001021702,2.120258086,1,1,5282,6403,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,19.3,96172,0.015085158,0.22919708,0.755717762,NA,0
Alamance,37001021703,8.95477315,1,1,4866,6249,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,17.5,77689,0.016357688,0.385677935,0.597964377,NA,0
Alamance,37001021801,31.31189604,2,2,4441,4459,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,15.6,64706,0.03916309,0.212982833,0.747854077,NA,0
Alamance,37001021802,28.0239086,2,2,3553,3686,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,15.5,41094,0.048894843,0.226389819,0.724715338,NA,0
Alamance,37001021803,36.59607651,2,2,2879,2953,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,12.6,48661,0.035652174,0.230434783,0.733913043,NA,0
Alamance,37001021901,21.4007756,2,2,4535,4561,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,17.9,48995,0.00505618,0.184831461,0.81011236,NA,0
Alamance,37001021902,47.10292364,2,2.1,4423,4466,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,11.5,70067,0.043213296,0.205540166,0.751246537,NA,0
